Connecting to host 10.100.0.19, port 5201
[  5] local 10.100.0.4 port 45500 connected to 10.100.0.19 port 5201
[ 21]   1.00-2.00   sec   235 MBytes  1.97 Gbits/sec    0    944 KBytes       
[ 23]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 25]   1.00-2.00   sec   234 MBytes  1.96 Gbits/sec    0    795 KBytes       
[ 27]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 29]   1.00-2.00   sec   469 MBytes  3.93 Gbits/sec    0   1.74 MBytes       
[ 31]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 33]   1.00-2.00   sec   233 MBytes  1.96 Gbits/sec    0    891 KBytes       
[ 35]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    2   8.74 KBytes       
[ 37]   1.00-2.00   sec   187 MBytes  1.57 Gbits/sec    0    638 KBytes       
[ 39]   1.00-2.00   sec   468 MBytes  3.93 Gbits/sec    0   1.59 MBytes       
[ 41]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 43]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 45]   1.00-2.00   sec   188 MBytes  1.58 Gbits/sec    0    664 KBytes       
[ 47]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 49]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 51]   1.00-2.00   sec   235 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 53]   1.00-2.00   sec   235 MBytes  1.97 Gbits/sec    0    996 KBytes       
[ 55]   1.00-2.00   sec   234 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 57]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 59]   1.00-2.00   sec   235 MBytes  1.97 Gbits/sec    0    804 KBytes       
[ 61]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 63]   1.00-2.00   sec   469 MBytes  3.94 Gbits/sec    0   1.91 MBytes       
[ 65]   1.00-2.00   sec   188 MBytes  1.58 Gbits/sec    0    699 KBytes       
[ 67]   1.00-2.00   sec   470 MBytes  3.94 Gbits/sec    0   1.52 MBytes       
[SUM]   1.00-2.00   sec  4.58 GBytes  39.4 Gbits/sec   31             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   2.00-3.00   sec   640 KBytes  5.24 Mbits/sec   20   17.5 KBytes       
[  7]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[  9]   2.00-3.00   sec   187 MBytes  1.57 Gbits/sec    0    612 KBytes       
[ 11]   2.00-3.00   sec   234 MBytes  1.96 Gbits/sec    0    856 KBytes       
[ 13]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 15]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 17]   2.00-3.00   sec   188 MBytes  1.58 Gbits/sec    0    690 KBytes       
[ 19]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 21]   2.00-3.00   sec   234 MBytes  1.96 Gbits/sec    0    944 KBytes       
[ 23]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 25]   2.00-3.00   sec   235 MBytes  1.97 Gbits/sec    0    795 KBytes       
[ 27]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 29]   2.00-3.00   sec   470 MBytes  3.94 Gbits/sec    0   1.74 MBytes       
[ 31]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 33]   2.00-3.00   sec   235 MBytes  1.97 Gbits/sec    0    891 KBytes       
[ 35]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 37]   2.00-3.00   sec   188 MBytes  1.58 Gbits/sec    0    638 KBytes       
[ 39]   2.00-3.00   sec   469 MBytes  3.93 Gbits/sec    0   1.59 MBytes       
[ 41]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 43]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 45]   2.00-3.00   sec   188 MBytes  1.58 Gbits/sec    0    690 KBytes       
[ 47]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 49]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 51]   2.00-3.00   sec   235 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 53]   2.00-3.00   sec   235 MBytes  1.97 Gbits/sec    0    996 KBytes       
[ 55]   2.00-3.00   sec   234 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 57]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 59]   2.00-3.00   sec   234 MBytes  1.96 Gbits/sec    0    804 KBytes       
[ 61]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0   8.74 KBytes       
[ 63]   2.00-3.00   sec   470 MBytes  3.94 Gbits/sec    0   1.91 MBytes       
[ 65]   2.00-3.00   sec   187 MBytes  1.57 Gbits/sec    0    699 KBytes       
[ 67]   2.00-3.00   sec   468 MBytes  3.93 Gbits/sec    0   1.60 MBytes       
[SUM]   2.00-3.00   sec  4.58 GBytes  39.4 Gbits/sec   20             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   3.00-4.00   sec   384 KBytes  3.15 Mbits/sec   19   17.5 KBytes       
[  7]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[  9]   3.00-4.00   sec   188 MBytes  1.57 Gbits/sec    0    612 KBytes       
[ 11]   3.00-4.00   sec   235 MBytes  1.97 Gbits/sec    0    856 KBytes       
[ 13]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 15]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 17]   3.00-4.00   sec   188 MBytes  1.57 Gbits/sec    0    690 KBytes       
[ 19]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 21]   3.00-4.00   sec   235 MBytes  1.97 Gbits/sec    0    944 KBytes       
[ 23]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 25]   3.00-4.00   sec   235 MBytes  1.97 Gbits/sec    0    795 KBytes       
[ 27]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 29]   3.00-4.00   sec   468 MBytes  3.93 Gbits/sec    0   1.74 MBytes       
[ 31]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 33]   3.00-4.00   sec   234 MBytes  1.97 Gbits/sec    0    891 KBytes       
[ 35]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    2   17.5 KBytes       
[ 37]   3.00-4.00   sec   187 MBytes  1.57 Gbits/sec    0    638 KBytes       
[ 39]   3.00-4.00   sec   469 MBytes  3.94 Gbits/sec    0   1.67 MBytes       
[ 41]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 43]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 45]   3.00-4.00   sec   187 MBytes  1.57 Gbits/sec    0    690 KBytes       
[ 47]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 49]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 51]   3.00-4.00   sec   234 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 53]   3.00-4.00   sec   234 MBytes  1.96 Gbits/sec    0    996 KBytes       
[ 55]   3.00-4.00   sec   235 MBytes  1.97 Gbits/sec    0    926 KBytes       
[ 57]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    1   8.74 KBytes       
[ 59]   3.00-4.00   sec   234 MBytes  1.96 Gbits/sec    0    804 KBytes       
